Network Size	 Learning Rate	 Batch Size	 Lambda	 Momentum	 Epochs	 Time	 Accuracy
[784, 30, 10]	0.1	1000	1.0	0.5	10	0	0.08
[784, 30, 10]	0.1	1000	1.0	0.5	30	0	0.08
[784, 30, 10]	0.1	1000	1.0	0.9	10	0	0.08
[784, 30, 10]	0.1	1000	1.0	0.9	30	0	0.08
[784, 30, 10]	0.1	1000	10.0	0.0	10	0	0.3
[784, 30, 10]	0.1	1000	10.0	0.0	30	0	0.58
[784, 30, 10]	0.1	1000	10.0	0.1	10	0	0.08
[784, 30, 10]	0.1	1000	10.0	0.1	30	0	0.08
[784, 30, 10]	0.1	1000	10.0	0.5	10	0	0.08
[784, 30, 10]	0.1	1000	10.0	0.5	30	0	0.08
[784, 30, 10]	0.1	1000	10.0	0.9	10	0	0.08
[784, 30, 10]	0.1	1000	10.0	0.9	30	0	0.08
